la_Code,borough,non_Migrant,migrant,total_Population,owned,rented,total_Housing,adequate,neutral,overcrowded,total_Occ_Rating,employed,unemployed,total_employment
E09000001,City of London,4327,4255,8582,1806,3103,4909,1548,3133,233,4914,5351,2653,8004
E09000002,Barking and Dagenham,128483,90387,218870,32593,41163,73756,29968,30793,13141,73902,94591,67155,161746
E09000003,Barnet,221293,168050,389343,80040,68739,148779,83158,51793,13966,148917,186176,123179,309355
E09000004,Bexley,194714,51759,246473,66680,28555,95235,62095,27373,5832,95300,168268,77844,246112
E09000005,Brent,149239,190576,339815,47839,70602,118441,50047,48512,20053,118612,160998,114144,275142
E09000006,Bromley,263052,66940,329992,94194,41587,135781,92203,37505,6120,135828,162122,102966,265088
E09000007,Camden,114647,95489,210136,28222,64262,92484,37936,45985,8835,92756,102511,75397,177908
E09000008,Croydon,254536,136184,390720,85850,66812,152662,82183,54895,15868,152946,189405,120991,310396
E09000009,Ealing,180561,186554,2067115,64472,68872,133344,63288,52743,17628,133659,175026,120345,295371
E09000010,Enfield,196824,133160,329984,64666,55961,120627,62424,42871,15630,120925,143864,113318,257182
E09000011,Greenwich,180578,108489,289067,49398,64415,113813,55536,46298,12219,114053,142935,86814,229749
E09000012,Hackney,156219,102927,259146,28730,77092,105822,38402,54209,13470,106081,134308,75158,209466
E09000013,Hammersmith and Fulham,99818,83339,183157,27298,53789,81087,34722,39129,7393,81244,98098,56534,154632
E09000014,Haringey,143117,121121,264238,40848,63850,104698,45325,45622,14145,105092,134381,81619,216000
E09000015,Harrow,127612,261203,388815,53697,35793,89490,50690,28019,10934,89643,125039,84584,209623
E09000016,Havering,211166,50885,262051,71355,29826,101181,66784,28368,6125,101277,124781,84949,209730
E09000017,Hillingdon,188260,117649,305909,63204,45889,109093,58763,38076,12389,109228,142806,99073,241879
E09000018,Hounslow,145556,142620,288176,49269,53406,102675,47288,40684,14989,102961,138794,89881,228675
E09000019,Islington,130213,86376,216589,27320,68866,96186,35928,51520,9048,96496,114971,68656,183627
E09000020,Kensington and Chelsea,66063,77312,143375,21867,44890,66757,30190,31270,5424,66884,69440,53649,123089
E09000021,Kingston upon Thames,111412,56584,167996,40397,25155,65552,41015,20673,3938,65626,84148,51319,135467
E09000022,Lambeth,195091,122563,317654,46910,87572,134482,56595,63871,14223,134689,182817,86125,268942
E09000023,Lewisham,193483,107070,300553,53174,69042,122216,56157,52274,13961,122392,155716,86701,242417
E09000024,Merton,127245,74017,201262,46337,35347,81684,46922,27129,7678,81729,112065,60707,172772
E09000025,Newham,162447,188589,351036,38318,76869,115187,40508,50136,24863,115507,163445,112728,276173
E09000026,Redbridge,174963,135297,310260,60204,43283,103487,56760,33324,13630,103714,141630,100390,242020
E09000027,Richmond upon Thames,139053,56225,195278,50921,29722,80643,53802,23682,3221,80705,97566,58269,155835
E09000028,Southwark,182392,125240,307632,40931,89497,130428,51754,63094,15970,130818,166591,89188,255779
E09000029,Sutton,151447,58189,209636,53936,28350,82286,48379,28038,5931,82348,104226,61433,165659
E09000030,Tower Hamlets,165081,145225,310306,31026,89237,120263,38201,63208,19130,120539,155390,97498,252888
E09000031,Waltham Forest,171070,107359,278429,52056,50692,102748,50455,38615,13833,102903,140374,81810,222184
E09000032,Wandsworth,203322,124184,327506,60834,76374,137208,68303,58750,10340,137393,190441,83118,273559
E09000033,Westminster,90702,113536,204238,26657,67875,94532,36629,48474,9711,94814,101745,75725,177470
